article,content
남북 통신 연결 위성이 가장 먼저 구현,KT SAT 무궁화 3호 문제는 항소할 것 지디넷코리아 김윤희 기자 금산 김윤희 기자 KT SAT이 남북 경제 협력에 대한 기대감이 커지는 가운데 방송·통신 인프라 구축의 경우 위성을 통해 소요 시간을 효과적으로 줄일 수 있다고 강조했다.한원식 KT SAT 사장은 7일 기자 간담회에서 KT는 남북경협 TF를 구성해 해야 할 일을 정리하고 있고 우리도 일부를 맡을 예정 이라며 유선망의 경우 선로 공사 등 서비스 구현을 위해 복잡한 준비 과정이 존재하지만 위성은 거의 바로 서비스가 가능하다 고 말했다.위성통신 차량을 적재적소에 배치하기만 하면 이미 운영 중인 위성을 통해 남과 북의 통신을 쉽게 연결할 수 있다는 설명이다.한원식 사장은 방송의 경우 북한에 KT스카이라이프 안테나만 설치하면 바로 서비스 가능하다 고 덧붙였다.한원식 KT 사장.한 사장은 ITU를 통해 정해진 위성용 통신 주파수를 갖고 기술 고도화와 설계를 통해 통신 속도를 올리는 작업을 하고 있다 며 저궤도 위성을 이용 물리적 전송거리를 줄여 5G의 초저지연 초고속 초연결 특성 등을 구현할 가능성을 보고 있다 고 설명했다.양자암호통신과 블록체인은 향후 활용도가 넓어지는 위성통신의 보안 문제를 잡을 핵심 기술이다. 이를 위해 KT SAT은 KT 융합기술원과 양자암호통신 블록체인에 대한 공동 연구를 진행하고 있다.한 사장은 인터넷에서 가장 어려운 문제가 보안이고 이에 대한 수요가 급증하고 있다 며 중요한 정보를 위성을 통해 전달해야 한다면 아주 철저한 보안망이 필요하다. 이를 위해 단말 제작이나 통신 프로토콜 제어 등에 대해 계속 고민하고 있다 고 언급했다.KT SAT은 지난해 해외 커버리지를 보유한 신규 위성을 쏘아올린 뒤 본격적으로 글로벌 진출을 시작했다. KT SAT의 이런 기술 고도화와 함께 올해 해외 매출을 확대 200억원을 달성 목표로 밝혔다.이는 5년 10년 등 다년간 계약이 관례화돼 있는 중계기 사업의 특성을 고려할 때 계약 규모가 바로 해당 연도 매출에 전부 반영되지 않는다는 점을 고려한 수치라고 첨언했다.질의응답에서는 KT가 apos 헐값 매각 apos 으로 비판을 받고 있는 무궁화 3호 위성 관련 소송 향방에 대한 언급도 나왔다.지난 2010년 이석채 전임 회장 재직 당시 홍콩 위성 전문회사 ABS에 해당 위성을 5억3천만원에 매각하면서 관련 부처의 승인을 얻는 과정을 생략했다는 지적이 나왔다. 제작에 3천억원의 세금이 들어간 무궁화 3호의 매각을 위해 고의로 생략한 것이 아니냐는 의혹도 제기됐다.이에 정부는 위성 소유권을 원상복구하라는 시정명령을 내렸다. 그러나 최근 KT SAT은 해당 위성의 소유권을 두고 ABS를 대상으로 제기한 소송에서 패소했다. 국제 상업회의소 중재법원은 지난 3월 KT SAT이 ABS에 손해배상해야 한다는 판정을 내렸다.이에 KT SAT은 오는 7월 뉴욕 연방항소법원에 항소심을 제기할 예정이다.백승윤 KT SAT 부문장은 지난해 7월 위성 소유권에 대해서는 패소 판정을 받았다 며 연이어 손해배상 관련 판결에서도 불리한 판결이 나와 이를 취소해달라고 뉴욕 연방법원에 지난 10월 소송을 제기했지만 지난 4월 기각됐다 고 설명했다.이어 뉴욕 연방 항소법원에 항소심을 제기할 것이고 결과는 내년쯤 나올 것 같다 며 승소를 위해 최선을 다하는 중 이라고 말했다.
LH 청소년 남북 경협사업 아이디어 공모,만19 39세 청년 대상···총 1 750만원 상금 서울경제 한국토지주택공사 LH 는 남북 경제협력사업 관련 창의적인 아이디어를 발굴하기 위해 ‘미래 한반도 리더십 청년 콘텐츠 공모’를 진행한다고 1일 밝혔다. 이번 공모는 지난해 4·27 판문점 선언과 9·19 평양공동선언을 계기로 정부 및 각계 각층의 남북 교류협력 논의가 활발하게 진행되는 가운데 20 30대 청년층의 관심과 이해를 높이고 창의적인 사업 아이디어를 발굴하기 위해 마련됐다. 통일부는 후원으로 참여한다. 공모는 제반여건 조성을 전제로 경제협력사업을 구상하거나 제안하면 된다. 공모주제는 △건설 분야 남북 간 교류협력 방안 △산업단지 및 도시주택분야 남북협력사업 추진 방안 △국제개발협력을 통한 SOC 구축 방안 △기타 남북경제협력 방안 등이다. 논문 에세이 또는 인포그래픽 형식으로 제안하면 된다. 응모자격은 만19세 39세의 대한민국 청년이다. 개인 또는 3명 이내의 팀 단위로 신청할 수 있다. 응모서류는 LH 홈페이지에서 내려받으면 된다. 응모작은 11월 15 22일 온라인으로 제출하면 된다. 결과 발표는 11월 말이다. 심사를 통해 논문 에세이 인포그래픽 분야별 당선작에게 통일부 장관상 및 LH 사장상과 총 1 750만원의 상금이 주어진다.이병만 LH 남북협력처장은 “공모전을 통해 한반도 미래에 대한 청년층의 관심이 높아지고 남북경협 추진 방안에 대한 참신한 아이디어가 활발히 제시되길 기대한다”고 말했다.
文 신년회견경제고용지표 부진 해결 큰 과제..남북경협 예비된 축복,고용지표 부진 아쉬워…정책기조 유지하며 보완 제조업 혁신 통해 해결…지역경제 활력도 중요 남북경협 퍼주기 오해…경제에 새로운 활력 서울 뉴시스 박진희 기자 문재인 대통령이 10일 청와대 영빈관에서 열린 2019 문재인 대통령 신년기자회견 에서 취재진의 질문에 답하고 있다. 2019.01.10. pak7130 newsis.com 서울 뉴시스 이재은 한주홍 기자 문재인 대통령은 10일 20개월 임기 동안 고용지표가 국민들 기대에 미치지 못했다는 점이 가장 아쉽고 아픈 점이었다 면서 앞으로 이 부분을 어떻게 풀어나갈지 하는 점이 새해 우리 정부의 가장 큰 과제다 라고 밝혔다.문 대통령은 이날 오전 10시 청와대 영빈관에서 열린 신년 기자회견에서 청년고용율이 사상 최고일 정도로 나아가는 건 긍정지표이나 전체적으로 일자리가 기대만큼 못 늘었기 때문에 국민 체감고용은 여전히 어렵다 면서 이같이 밝혔다.문 대통령은 기존의 정책 기조를 유지하겠다고 강조했다. 문 대통령은 정부의 정책기조가 잘못됐다고는 생각하지 않는다. 그러나 정책 기조를 그대로 유지해가면서도 보완할 점은 충분히 보완해서 이제는 고용지표에 있어서 작년과 다르게 훨씬 더 늘어난 모습 그래서 고용의 양과 질을 함께 높이는 한 해로 만들겠다 고 약속했다.문 대통령은 고용부진 해결책으로 제조업 스마트화 혁신을 통해 경쟁력을 높이고 벤처창업 등을 통해 새로운 성장 동력을 마련해야 한다 고 밝혔다.이어 최저임금 인상에 대해서는 우리가 소상공인과 자영업자를 지원하는 여러 많은 특별대책을 마련했지만 제조업도 다시 혁신해서 경쟁력을 높이는 부분에 대해서도 못지않은 노력을 기울여야 한다 생각한다 고 말했다.문 대통령은 지역경제활력도 강조하며 지역경제를 하고 있고 지금까지 전북 경북 경남을 다녀왔다. 중앙정부가 지역에 사업을 제시하는 게 아니라 지역이 스스로 주도적으로 계획을 세워나가면 중앙정부가 타당성을 보고 지원하는 형식이기 때문에 계획이 무르익었다고 생각하면 그 지역에 가서 발표하는 방식으로 이뤄지고 있다 고 설명했다.그러면서 예타 예비타당성조사 면제는 국가균형발전을 위해서 지역에 대규모 공공 인프라 사업을 해야 하는데 서울이나 수도권은 예타가 쉽게 통과되는 반면 지역 공공인프라 사업들은 인구가 적어서 예타를 통과하는데 어려움을 겪고 있다 면서 그 지역이 가장 필요로 하는 사업이 무엇이고 그 가운데에서 예타를 거치지는 않지만 가장 중요하다고 판단되는 사업이 무엇인지 함께 협의하고 있다 고 부연했다.문 대통령은 스타트업 창업 생태계 활성화를 위한 규제혁신과 관련해 규제혁신은 이해집단 간 격렬한 이해상충이 있다. 정부가 적극적으로 설득해야겠지만 생각이 다른 분들의 사회적 대화나 타협도 필요하다 고 강조했다.이어 청년 스타트업도 중요하지만 시니어층도 그동안 직장생활을 하며 갖게 된 여러 노하우를 활용한 스타트업도 중요하다. 새해부터 시니어 창업 스타트업에 대해 특히 주니어와 시니어가 함께 하는 스타트업에 대해서도 적극 지원하겠다 고 말했다.또 최근 논란이 되고 있는 카풀을 언급하며 4차산업혁명으로 경제사회 현실이 바뀌고 있는데도 옛날의 가치가 그대로 고집되는 경우도 왕왕 있어 보인다. 그런 가치를 주장하는 분들도 바뀐 시대에 맞게 좀 더 열린 마음으로 상대와 대화하는 유연한 마음을 가져줬으면 좋겠다 고 요청했다. 그러면서 규제가 풀림으로서 있게 되는 손해와 이익을 사회적 합의를 위해 정부가 적극적으로 노력하겠다 고 약속했다.아울러 남북경제협력 남북경협 이 본격적으로 추진된다면 경제 전반에 있어 큰 도움이 될 것이라고 언급했다.문 대통령은 남북경협은 그동안 퍼주기 오해도 많이 있었다. 그러나 우리가 제대로 했던 남북경협이 개성공단이라고 본다면 당시 북한보다 우리기업들의 이익과 우리 경제가 받은 도움이 훨씬 컸다는 것을 확인했다 면서 북한 제재가 풀리면 중국을 비롯해서 여러 국제 자본들이 주도권을 가지기 위해서 경쟁적으로 북한에 들어갈 수 있다고 생각한다. 한국도 그 시기를 놓치지 않는 것이 대단히 중요하다 고 강조했다.이어 한국 경제 구조적으로 어려움 겪고 있고 이전과 같은 고도성장은 불가능하다. 이제는 선진국형 경제를 갖췄기에 남북경협이야 말로 우리 경제의 새로운 활력 불어넣는 새로운 획기적인 성장 동력이 될 것이라 생각한다 면서 그 기회는 우리가 만들어야 한다. 남북경협은 우리에게 예비되어있는 축복이다 고 낙관했다.그러면서 남북경협이 본격화되면 지역경제에도 큰 도움이 될 것이다. 남북관계가 활발했을 시절 지자체별로 북한과 협력사업이 있었고 이를 추진하기 위한 협력기금이 사용되지 않은 채 지자체에 보존돼 있다 면서 제재가 해제하면 빠른 속도로 추진할 수 있도록 지자체와 함께 작업이 논의되고 있다 고 설명했다.
현대로템 남북 철도 변동성 확대에도 이익 턴어라운드신한금융투자,파이낸셜뉴스 신한금융투자는 27일 현대로템에 대해 확연한 이익 턴어라운드를 보이고 있다며 투자의견 트레이딩 매수 를 유지했다. 다만 남북 철도 경제협력 이벤트에 따른 주가 변동성 확대로 목표주가는 1만5700원으로 기존 대비 2.2% 하향 조정했다. 황어연 신한금융투자 연구원은 2·4분기 매출액 6566억원 영업이익 256억원으로 컨센서스를 상회했다 면서 영업 외로는 토지 그린에어 매각에 따른 일회성 이익이 각각 200억원 100억원 발생했다 고 판단했다. 철도부문은 신흥국 환율 상승에 따른 일회성 환입 수익성 개선으로 영업이익이 136억원 흑자전환했다. 방산부문 영업이익은 K2 전차 2차 양산 본격화로 117억원으로 성장했다 . 황 연구원은 올해 현대로템의 매출액을 전년 대비 12.2% 오른 2조8000억원으로 전망했다. 같은 기간 영업이익은 963억원으로 흑자전환 할 예정이다. 그는 2017년 3조8000억원 2018 2019년 각 3조원의 수주로 매출액은 지속적인 성장이 예상된다 면서 하반기 현안 프로젝트인 카타르 하수처리시설 준공 국내 저가 프로젝트 소진 신흥국 환율 상승으로 점진적인 이익 개선은 가능하다 고 강조했다. 그는 이어 주요 예상 수주로는 철도부문에서는 1호선 전동차 4000억 5000억원 방산부문에서는 K2 전차 3차 양산 4000억원 차륜형 장갑차 3000억원 가 있다 고 말했다. 아울러 그는 남북 철도 경협 이벤트에 따른 주가 변동성 확대로 정량적 기업 가치 측정이 불가하다 고 덧붙였다.
홍준표 “남북경협으로 일본 따라잡는다 이제 그만하라”전문,페이스북에 글자유한국당 홍준표 전 대표의 모습. 연합뉴스 서울경제 자유한국당 홍준표 전 대표가 5일 “남북경협으로 일본을 따라 잡는다 김정은이처럼 국민들을 인질로 잡는 인질정치는 이제 그만하라”고 촉구했다.홍 전 대표는 이날 페이스북에 “ 남북경협을 평화경제로 포장해서 국민들을 또 한번 현혹하겠다 ”라며 “지금은 국제 협업의 시대이지 북한처럼 자력 갱생의 시대가 아니다”라고 적었다. 이에 앞서 이날 문재인 대통령은 “이번 일 일본의 경제보복 을 겪으며 우리는 평화경제의 절실함을 다시 한번 확인할 수 있었다”며 “남북 간의 경제협력으로 평화경제가 실현된다면 우리는 단숨에 일본의 우위를 따라잡을 수 있다”고 말한 바 있는데 이를 비판한 것으로 풀이된다.홍 전 대표는 “세계 최악의 경제난인 북한과 무얼 협력해서 일본을 따라 잡겠다는 것인가”라며 “유엔제재는 이제 아예 무시하겠다는 것인가”라고 반문했다. 그는 “경상도 속담에 앉은뱅이 용쓴다는 말이 있다”며 “김정은이처럼 국민들을 인질로 잡는 인질 정치는 이제 그만하라”고 강조했다. 다음은 홍 전 대표 페이스북 글 전문이다. 이태규기자 classic sedaily.com남북경협으로 일본을 따라 잡는다 그걸 평화경제로 포장해서 국민들을 또 한번 현혹 하겠다 지금은 국제 협업의 시대이지 북한처럼 자력 갱생의 시대가 아닙니다.세계 최악의 경제난인 북한과 무얼 협력해서 일본을 따라 잡겠다는 것인가요 유엔제재는 이제 아예 무시 하겠다는 것인가요 경상도 속담에 앉은 뱅이 용쓴다는 말이 있습니다.
김현종 “백악관과 의제 협의 잘 돼…남북 경협 논의는 안 해”,미국 워싱턴을 방문해 한미 정상회담 의제 조율에 나섰던 김현종 청와대 국가안보실 2차장이 협의가 순조롭게 진행됐음을 시사했습니다. 김 2차장은 귀국 항공편에 오르기 전 뉴욕에서 KBS 취재진을 만나 협상 상대인 찰스 쿠퍼먼 백악관 국가안보회의 부보좌관과 논의를 잘했다고 밝혔습니다. 다만 의제와 관련된 논의 내용을 구체적으로 밝히지는 않았습니다. 김 2차장은 톱다운 방식으로 지금까지 진전을 이뤄왔다 며 중요한 것은 대북 대화 궤도를 지속적으로 유지하는 것 이라고 강조했습니다. 남북 경협과 관련한 논의가 있었느냐는 질문엔 아니라고 답했습니다. 김 2차장은 금강산 관광이나 개성 공단에 대해서는 전혀 논의가 없었다고 말했습니다. 앞서 정의용 국가안보실장은 국회 운영위에서 개성 공단 금강산 관광 재개가 한미 정상회담 의제에 포함되느냐는 의원 질의에 정상 간에는 폭넓은 틀 속에서 여러 문제를 다 논의하게 될 것이라고 밝힌 바 있습니다. 금강산 개성 문제가 이번 실무 차원의 의제 조율 과정에서 논의되지는 않았지만 정상회담에서 논의될 가능성을 열어둔 것으로 해석됩니다. 또 김 2차장은 한미 정상회담 전 대북 특사 파견에 대해서는 코멘트 할 수 없다며 언급을 피했습니다. 앞서 정의용 실장은 국회 운영위에서 특사 파견에 대한 의원 질의에 가능성이 있다기보다는 여러 방안을 검토하고 있다고 답했습니다.
北김정은 위중 소식에…방산株↑·남북경협株↓,사진 연합뉴스김정은 북한 국무위원장이 위중하다는 소식에 지정학적 위험이 불거지면서 방산주는 치솟는 반면 남북경협주는 곤두박질치고 있다. 21일 오전 11시5분 현재 방산주인 스페코는 가격제한폭 29.90% 상승한 3910원에 거래되고 있다. 빅텍도 상한가로 치솟았다. 퍼스텍 한일단조 휴니드 풍산 등도 20%대 상승률을 기록하고 있다.반면 남북경협주는 급락 중이다. 인디에프 조비 한창 아난티 등은 15 17%대로 내리고 있다. 경농 좋은 사람들 신원 현대엘리베이터 제이에스티나 등도 10% 넘게 떨어지고 있다.미국 CNN방송은 20일 현지시간 사안에 정통한 미국 관리를 인용해 김정은 국무위원장이 수술 후 심각한 위험에 빠진 상태라는 정보를 미국 정부가 주시하고 있다고 보도 했다.김 위원장은 최근 심혈관계 시술을 받은 것으로 알려졌다. 이날 북한 전문 매체 데일리 NK는 북한 내부 소식통을 인용해 김 위원장이 지난 12일 평안북도 묘향산지구 내에 위치한 향산 진료소에서 심혈관 시술을 받고 인근 향산특각 별장 에 머물며 의료진들의 진료를 받고 있다고 보도한 바 있다. 향산 진료소는 김씨 일가의 전용병원이다.매체에 따르면 김 위원장의 심혈관계 시술을 평양 김만유병원의 담당외과의사가 직접 집도했고 조선적십자종합병원 평양의학대학병원의 1호 담당 의사들도 모두 향산진료소에 불려갔다. 이후 김 위원장의 상태가 호전되면서 지난 19일 대부분 평양으로 복귀했고 일부만 남아 상황을 살피고 있는 것으로 알려졌지만 상태가 다시 위중해진 것으로 보인다.매체는 김 위원장이 지나친 흡연 비만 과로 등이 직접적인 원인이 돼 심혈관 시술을 받은 것으로 보인다고 설명했다.
윤석헌 금감원장 남북경협 금융사 필요한 역할 할 것,윤석헌 금감원장 자료사진.연합윤석헌 금융감독원장이 남북 정상이 발표한 ‘평양 공동선언문’에 포함된 남북 경제협력에 대해 “금융회사도 북한에 들어갈테니 금융위원회와 금감원이 필요한 역할을 할 것”이라고 밝혔다.윤 원장은 19일 서울 여의도 콘래드 호텔에서 24개 외국계 금융회사 대표 CEO 들과 간담회 후 기자와 만나 “이번에 산업은행 회장이 갔으니 전체적인 구도를 짤 것”이라며 이같이 말했다. 또 “경제협력이 어떻게 진행되는지 지켜보고 구체적인 내용이 나오면 금감원이 할 일을 찾을 수 있을 것”이라고 덧붙였다.윤 원장은 이날 간담회에서 “한국은 2003년 동북아 금융허브 로드맵을 수립한 후 동북 아시아 금융 중심지라는 목표를 향해 노력하고 있다”고 전했다. 금감원에 따르면 지난해 말 기준 외국계 금융회사 자산은 416조7000억원으로 전년 대비 3.5% 늘었다. 그러나 같은 기간 국내 진입한 외국계 금융회사 수는 168개에서 165개로 줄었다.윤 원장은 “한국은 고령화에 따른 연금자산 수요 증가로 자산운용시장 전망이 밝고 4차 산업혁명을 향한 산업과 정부 노력이 점차 활발해지고 있다”며 “남북경협 가능성이 커지면서 동북아 금융 중심지라는 목표 달성을 위한 범정부 노력도 지속할 것”이라고 말했다. 이어 “이런 상황은 외국계 금융사에도 값진 도약의 기회가 되고 외국계 금융회사와 한국 금융시장 간 동반 성장 계기로 작용할 것”이라고 덧붙였다.한편 지난 6월 말 기준 자산운용사의 운용 자산은 1010조원으로 사상 처음 1000조원을 돌파했다. 윤 원장은 외국계 금융회사 대표들에게 다양한 상품 및 서비스 제공과 철저한 내부통제 체계 구축 금융소비자 보호를 당부했다. 이어 “글로벌 금융시장에서 취득한 값진 경험을 바탕으로 다양한 특성의 상품과 서비스를 제공해 국내 금융시장에 활력을 불어넣어 달라”며 “금감원도 글로벌 스탠다드에 비해 과도하거나 불합리한 규제를 완화하겠다”고 강조했다.
나경원 靑 日 보복에 엉뚱한 남북경협 솔루션…북한 중독,與 일각서 도쿄올림픽 불참 거론 스포츠인 꿈 짓밟는 것 아닌가 서울 연합뉴스 안용수 이동환 기자 자유한국당 나경원 원내대표는 6일 문재인 대통령이 전날 일본 경제보복의 극복 방안으로 남북 경제협력을 제시한 데 대해 이번 사태 해결의 관건이 우리나라 서플라이 체인 부품 공급망 의 정상화에 있는데 북한과의 경협이라는 너무 엉뚱한 솔루션을 가지고 나왔다 고 말했다. 나 원내대표는 국회에서 열린 원내대책회의에서 지금 청와대는 계속해서 뭐가 문제냐는 식으로 엄중한 현실마저 부정한 결과 모래 속에 머리를 박은 타조 같은 어리석은 모습 이라며 이같이 밝혔다. 나 원내대표는 상상 속의 희망과 실현 가능한 대안을 구분하지 못하고 결국 북한 퍼주기의 구실을 만들어버렸다 며 그 결과 나온 대안은 우리 민족끼리 잘 해보자는 북한 중독으로 안보도 경제도 우리 민족끼리라는 신쇄국주의를 통해 정말 대한민국을 구한말 조선으로 만들 것인지 묻고 싶다 고 주장했다. 이어 그는 이런 와중에 여당과 정부 일각에서 도쿄올림픽 불참 도쿄 여행 금지구역 설정 등의 이야기가 나오고 있다 며 4년에 한 번 열리는 올림픽은 스포츠인들에게는 평생의 꿈과 같은 무대인데 자칫 그들의 꿈을 짓밟는 게 아닌가 생각해봐야 한다 고 지적했다. 나 원내대표는 북한 미사일 발사가 올해 들어서만 벌써 6차례인데 문 대통령은 북한에 대해 어떠한 항의도 없었다 며 결국 일본에 대해서는 경제 침략이라며 한일전을 이야기하면서도 한미 연합훈련은 이름도 못 붙이는 홍길동 훈련 이 되는 등 친북 정부의 스탠스를 정확히 보여주고 있다 고 비판했다. 발언하는 나경원 원내대표 서울 연합뉴스 이진욱 기자 자유한국당 나경원 원내대표가 6일 국회에서 열린 원내대책회의에서 발언하고 있다.
나경원 靑 日 보복에 엉뚱한 남북경협 솔루션…북한 중독,자유한국당 나경원 원내대표는 문재인 대통령이 어제 5일 일본 경제보복의 극복 방안으로 남북 경제협력을 제시한 데 대해 이번 사태 해결의 관건이 우리나라 서플라이 체인의 정상화에 있는데 북한과의 경협이라는 너무 엉뚱한 솔루션을 가지고 나왔다 고 말했습니다.나 원내대표는 국회에서 열린 원내대책회의에서 지금 청와대는 계속해서 뭐가 문제냐는 식으로 엄중한 현실마저 부정한 결과 모래 속에 머리를 박은 타조 같은 어리석은 모습 이라고 밝혔습니다.나 원내대표는 상상 속의 희망과 실현 가능한 대안을 구분하지 못하고 결국 북한 퍼주기의 구실을 만들어버렸다 며 그 결과 나온 대안은 우리 민족끼리 잘 해보자는 북한 중독으로 안보도 경제도 우리 민족끼리라는 신쇄국주의를 통해 정말 대한민국을 구한말 조선으로 만들 것인지 묻고 싶다 고 주장했습니다.이어 그는 이런 와중에 여당과 정부 일각에서 도쿄올림픽 불참 도쿄 여행 금지구역 설정 등의 이야기가 나오고 있다 며 4년에 한 번 열리는 올림픽은 스포츠인들에게는 평생의 꿈과 같은 무대인데 자칫 그들의 꿈을 짓밟는 게 아닌가 생각해봐야 한다 고 지적했습니다.나 원내대표는 북한 미사일 발사가 올해 들어서만 벌써 6차례인데 문 대통령은 북한에 대해 어떠한 항의도 없었다 며 결국 일본에 대해서는 경제 침략이라며 한일전을 이야기하면서도 한미 연합훈련은 이름도 못 붙이는 홍길동 훈련 이 되는 등 친북 정부의 스탠스를 정확히 보여주고 있다 고 비판했습니다.
北 전문가 초청한 박용만 회장 남북경협 깊은 연구 필요,대한상의 중국계 북한 전문가 초청 북한경제 컨퍼런스대한상공회의소 회장 박용만 는 16일 남대문 상의회관에서 북한경제 실상과 경협여건 컨퍼런스 를 개최했다. 대한상의 제공 © News1 서울 뉴스1 장은지 기자 대한상공회의소가 중국계 북한 전문가를 초청해 북한 경제의 실상과 남북 경제협력 여건에 대해 고찰했다. 지난해 중국과 북한의 접경지역을 둘러보고 온 박용만 대한상의 회장은 남북간 경제협력이 쉽지만은 않고 녹록지 않다 며 막연하게 할 게 아니라 깊이 연구해봐야 한다 고 컨퍼런스 취지를 설명했다. 대한상의는 지난해부터 남북경협에 대해 꾸준히 연구하며 컨퍼런스를 열고 있다. 대한상공회의소 회장 박용만 는 16일 남대문 상의회관에서 북한경제 실상과 경협여건 컨퍼런스 를 개최했다. 대한상의는 지난해 3월 남북관계 전망 컨퍼런스 6월 남북경협 컨퍼런스 를 개최한 바 있다. 세 번째로 열리는 이번 남북 컨퍼런스는 박용만 회장과 대한상의 회장단이 지난해 10월 북 중 접경지역을 방문한 후 기획됐다. 국제사회의 대북제재가 엄연한 상황에서 조급증을 지양해야 한다는 것이 대한상의 등 경제계의 생각이다.이 자리에는 300여명의 기업인들이 참석하는 등 남북경협에 대한 높은 관심을 보였다. 북한 실정을 생생하게 들려줄 중국계 북한 전문가인 이춘복 남개대 교수 안국산 연변대 조선반도연구원 경제연구소장 등이 연사로 나섰다. 박용만 회장은 인사말을 통해 지난해 평양 북중 접경지역을 다녀오면서 남북간 경협이 예상보다 녹록지 않겠다는 생각이 들었다 고 강조했다. 박 회장은 우리에게는 남북간 동일 민족 동일 언어 등 문화적 동질성 같은 분명한 강점이 있다 면서도 중국 특히 동북 3성에 있는 조선족 기업가들도 북한과의 경협에 대한 관심이 높았고 중국이 사업경험 풍부하고 북한식 말투까지 같은 조선족 기업가 사회주의 체제적 동질성 막대한 자금력 등 우리보다 앞선 경쟁요소를 갖고 있다는 인상을 받았다 고 말했다.이춘복 중국 남개대 교수가 16일 서울 남대문로 대한상공회의소 국제회의장에서 열린 북한경제 실상과 경협여건 컨퍼런스에서 북한의 정책노선 전환과 북중경협전망 을 주제로 발표하고 있다.2019.1.16 뉴스1 © News1 이종덕 기자이날 전문가들은 남북 경제협력 과정에서 중국과 조선족 기업가라는 변수를 고려해야 한다고 강조했다. 이춘복 남개대 교수는 북한의 정책노선 전환과 북중경협 전망 발표를 통해 북한주민이 김정은 위원장에 거는 기대는 경제강국 부국의 실현이다 며 이런 차원에서 김정은 위원장의 신년사에서 나온 새로운 길 은 자력경제 기반구축과 한중러 다자협력을 통한 부분적 제재완화를 내포한다 고 밝혔다.이 교수는 북한의 경제개방은 북·중 접경지역 중심으로 중국의 특구개발 방식을 모델로 삼아 전개할 가능성이 크다 면서 북·중 관계가 발전하고 있는 상황에서 향후 남·북·중 3자협력 모델 개발이 필요하다 고 조언했다. 안국산 중국 연변대 조선반도연구원 경제연구소장은 북한의 경제현황과 대외경협 여건 발표를 통해 북한경제는 이미 생산물 전부를 국가에 납부하는 형태에서 벗어나 자율생산 일정량만 국가에 납부하고 나머지는 기업소가 자율처분이 가능한 도급제로 전환 중 이며 도급제는 이미 도시에서 기업생산 도급제 농촌에서 포전담당제 형태로 많이 보급되어 있다 고 말했다.이어 향후 북한경협 여건에 있어 중국내 조선족 기업가들이 대북사업에 풍부한 경험과 노하우를 가지고 있다 면서 조선족 기업가들은 대북제재가 완화될 경우 북한시장에 단독 진출하거나 중국 대기업과 동반 진출하는데 가교역할을 할 가능성이 높다 고 전망했다.남북 경협제도 마련의 필요성도 언급됐다. 최장호 대외경제연구원 통일국제협력팀장은 국제사회가 동의할 수 있는 수준의 비핵화를 이행하기 전까지 대북제재가 풀리기는 어려울 것 이라면서 대외여건상 한반도 신경제구상을 추진하기 어렵다면 경협기반을 닦는 작업부터 해야 한다 고 말했다. 그는 현재 남북한 간에는 주로 상품 분야의 협정만 체결되어 있는데 이를 노동 자본 서비스 분야로 확대해가야 한다 며 남북경협의 기본이 되는 남북기본합의서 4대 경협합의서를 개정해 남북한 상품교역 뿐만 아니라 노동 자본 서비스 교류까지 포괄할 수 있는 남북한 CEPA 포괄적 경제동반자 협정 체결로 발전시켜 나갈 필요가 있다 고 강조했다.이석기 산업연구원 선임연구위원은 북한의 국산화 정책에 맞추어 대북투자 확대를 통해 북한내 생산능력을 확대시키는 경협을 추진할 필요가 있다 며 북한 과학기술 중시정책에 따라 남북간 기술협력 인력교육 강화해 북한 산업전반의 기술수준 설비경쟁력 인적자원을 제고하고 우리가 새로운 사업기회를 포착하는 서로 윈윈하는 경협구상이 필요하다 고 말했다.
